Site,CODE,Strata,Species,No.,72CAT_1,72CAT_2,72CAT_3,72CAT_4,72CAT_5,collector,date,weather,Bird72,Arth72,Mam72,Lost72,NonLost72H,TotalPred72H,Survived72H,BirdProp,ArthProp,72CAT_1,72CAT_2,72CAT_3,72CAT_4,72CAT_5
TOM,TOM_SP12,C,Carpinus_cordata,8,1,1,1,1,1,abe+katka/mata,23/07/2018,"nice, sunny",0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP9,C,Cryptocarya_sp.,3,1,1,1,1,AB,marketa,29/11/2018,sunny,1,1,0,0,5,2,3,0.2,0.2,,,,,1
DRO,DRO_SP11,C,Myristica_globosa,6,1,1,1,1,Bird,marketa,29/11/2018,sunny,1,0,0,0,5,1,4,0.2,0,,,,,1
DRO,DRO_SP12,C,Syzygium_graveolens,7,1,1,1,Bird,Arth,marketa,29/11/2018,sunny,1,1,0,0,5,2,3,0.2,0.2,,,,1,
EUC,EUC_SP1,U,Bursaria_spinosa,2,1,Bird,1,1,Arth,honza,11/04/2019,cloudy/sunny,1,1,0,0,5,2,3,0.2,0.2,,1,,,
TOM,TOM_SP14,C,Prunus_ssiori,1,1,1,1,1,1,abe+katka/mata,23/07/2018,"nice, sunny",0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP14,C,Prunus_ssiori,2,1,1,1,1,Mam,abe+katka/mata,23/07/2018,"nice, sunny",0,0,1,0,5,1,4,0,0,,,,,
TOM,TOM_SP14,C,Prunus_ssiori,3,1,1,1,1,1,abe+katka/mata,23/07/2018,"nice, sunny",0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP14,C,Prunus_ssiori,4,1,1,1,1,Mam,abe+katka/mata,23/07/2018,"nice, sunny",0,0,1,0,5,1,4,0,0,,,,,
TOM,TOM_SP14,C,Prunus_ssiori,6,1,1,1,1,Mam,abe+katka/mata,23/07/2018,"nice, sunny",0,0,1,0,5,1,4,0,0,,,,,
TOM,TOM_SP14,C,Prunus_ssiori,7,1,Mam,Mam,Mam,Mam,abe+katka/mata,23/07/2018,"nice, sunny",0,0,4,0,5,4,1,0,0,,,,,
TOM,TOM_SP14,C,Prunus_ssiori,8,1,1,1,1,Mam,abe+katka/mata,23/07/2018,"nice, sunny",0,0,1,0,5,1,4,0,0,,,,,
TOM,TOM_SP15,C,Ostrya_japonica,3,1,1,Arth,1,Mam,abe+katka/mata,23/07/2018,"nice, sunny",0,1,1,0,5,2,3,0,0.2,,,,,
TOM,TOM_SP15,C,Ostrya_japonica,4,1,1,1,1,Mam,abe+katka/mata,23/07/2018,"nice, sunny",0,0,1,0,5,1,4,0,0,,,,,
TOM,TOM_SP15,C,Ostrya_japonica,5,1,1,1,Mam,Mam,abe+katka/mata,23/07/2018,"nice, sunny",0,0,2,0,5,2,3,0,0,,,,,
TOM,TOM_SP15,C,Ostrya_japonica,7,1,1,Snail,1,1,abe+katka/mata,23/07/2018,"nice, sunny",0,0,0,1,4,0,4,0,0,,,,,
TOM,TOM_SP15,C,Ostrya_japonica,8,1,1,1,1,1,abe+katka/mata,23/07/2018,"nice, sunny",0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP1,U,Cryptocarya_sp.,1,1,1,1,Arth,1,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP1,U,Cryptocarya_sp.,2,1,1,1,Arth,1,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP1,U,Cryptocarya_sp.,3,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP1,U,Cryptocarya_sp.,5,1,1,1,Arth,Arth,marketa,29/11/2018,sunny,0,2,0,0,5,2,3,0,0.4,,,,,
DRO,DRO_SP1,U,Cryptocarya_sp.,7,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP2,U,Argyrodendron_peralatum,1,1,1,Arth,Arth,1,marketa,29/11/2018,sunny,0,2,0,0,5,2,3,0,0.4,,,,,
DRO,DRO_SP2,U,Argyrodendron_peralatum,2,1,1,Arth,Arth,1,marketa,29/11/2018,sunny,0,2,0,0,5,2,3,0,0.4,,,,,
